step,epoch,loss,reward,grad_norm,learning_rate,clip_ratio/high_max,clip_ratio/high_mean,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/region_mean,completions/clipped_ratio,completions/max_length,completions/max_terminated_length,completions/mean_length,completions/mean_terminated_length,completions/min_length,completions/min_terminated_length,entropy,frac_reward_zero_std,kl,num_tokens,reward_std,rewards/reward_func/mean,rewards/reward_func/std,rewards/schema_reward_func/mean,rewards/schema_reward_func/std,rewards/terminal_reward_func/mean,rewards/terminal_reward_func/std,total_flos,train_loss,train_runtime,train_samples_per_second,train_steps_per_second
45,0.0225,0.0815986692905426,1.1992206573486328,0.06769593805074692,4.450000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,453.0,665.25,357.0,261.0,261.0,0.009325110062491149,0.0,0.002883022229070775,337258.0,0.10157046467065811,0.7996103763580322,0.05078522861003876,0.19980517029762268,0.025392618030309677,0.19980517029762268,0.025392618030309677,,,,,
46,0.023,-0.27834612131118774,0.9493522644042969,0.07296717166900635,4.4375e-06,0.0,0.0,0.0,0.0,0.0,0.625,768.0,445.0,606.375,337.0,265.0,265.0,0.011425922391936183,0.0,0.003535659721819684,344677.0,0.34142619371414185,0.6746760606765747,0.17071306705474854,0.1373380571603775,0.08535654097795486,0.1373380571603775,0.08535654097795486,,,,,
47,0.0235,-0.19769546389579773,1.099696397781372,0.019810687750577927,4.425e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,309.0,710.625,309.0,309.0,309.0,0.005381313851103187,0.0,0.0010030039702542126,352930.0,0.009430200792849064,0.7498482465744019,0.004715094342827797,0.1749241054058075,0.0023575471714138985,0.1749241054058075,0.0023575471714138985,,,,,
48,0.024,-0.2300461232662201,1.064060926437378,0.0477360300719738,4.4125000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,765.0,699.0,492.0,219.0,219.0,0.007337534858379513,0.0,0.0016346754637197591,361090.0,0.28315168619155884,0.7320303916931152,0.14157584309577942,0.16601520776748657,0.07078792154788971,0.16601520776748657,0.07078792154788971,,,,,
49,0.0245,-0.18421505391597748,1.05995512008667,0.08695477247238159,4.4e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,397.0,655.0,316.0,235.0,235.0,0.01207466993946582,0.0,0.0031006816498120315,368898.0,0.2752343416213989,0.7299774885177612,0.13761715590953827,0.16498875617980957,0.06880858540534973,0.16498875617980957,0.06880858540534973,,,,,
50,0.025,0.03687768802046776,1.1680798530578613,0.06972198933362961,4.3875e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,367.0,717.875,367.0,367.0,367.0,0.008038686122745275,0.0,0.002510379345039837,377209.0,0.08137291669845581,0.7840398550033569,0.0406864657998085,0.19201993942260742,0.02034323662519455,0.19201993942260742,0.02034323662519455,,,,,
51,0.0255,-0.23564685881137848,1.0807666778564453,0.07851953059434891,4.3750000000000005e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,179.0,694.375,179.0,179.0,179.0,0.013400959491264075,0.0,0.008095495068118908,385332.0,0.3059505522251129,0.7341333627700806,0.16904601454734802,0.17644165456295013,0.06108640879392624,0.1701916605234146,0.07648763805627823,,,,,
52,0.026,-0.1928984373807907,1.0664201974868774,0.07346545159816742,4.362500000000001e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,303.0,636.25,241.0,179.0,179.0,0.01128707523457706,0.0,0.003947448822145816,392990.0,0.2847658097743988,0.7269600629806519,0.15920281410217285,0.17285504937171936,0.05477819964289665,0.16660504043102264,0.0711914524435997,,,,,
53,0.0265,0.06858531385660172,1.157757043838501,0.057179272174835205,4.350000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.75,768.0,477.0,674.75,395.0,313.0,313.0,0.00785062398063019,0.0,0.0011984688535449095,400956.0,0.11001017689704895,0.7788785696029663,0.05500510707497597,0.18943926692008972,0.027502551674842834,0.18943926692008972,0.027502551674842834,,,,,
54,0.027,-0.26433706283569336,1.0371322631835938,0.04294378310441971,4.3375e-06,0.0,0.0,0.0,0.0,0.0,0.875,768.0,139.0,689.375,139.0,139.0,139.0,0.011643672711215913,0.0,0.007798480961355381,409039.0,0.29623839259147644,0.709191083908081,0.17321822047233582,0.16709554195404053,0.05390316992998123,0.160845547914505,0.06993456929922104,,,,,
